"","Country","Country_code","Year","ln_CO2","ln_IU","ln_MIS","ln_OP","ln_GDP","ln_TOG","ln_REC","ln_ERT","ln_R","ln_GEE","ln_LS","ln_LE","ln_ME","ln_HDI","ln_AE","ln_SE","ln_TR","ln_UP","ln_UPP","ln_MAN","ln_IND","ln_FDI","ln_Exp","ln_Man_2","ln_FDI_2"
"Australia-2013","Australia",1,"2013",2.79985823792754,4.42428955659944,4.68130059520799,NA,11.1295923241779,3.72025454652737,2.22028985026722,10.450166302417,8.35098109763379,2.64200942638701,1.9891147529968,4.40853199942854,2.48647708267916,-0.0736465401682985,4.60517018598809,NA,3.74965677015437,16.7999297290135,4.448539767482,3.12603954820025,3.34115699291912,4.11066747477366,26.2002681373323,1.88828312580838,3.45509746249548
"Australia-2014","Australia",1,"2014",2.76193350154524,4.43081679884331,4.67073806340666,NA,11.0431363921794,3.74883897030548,2.2321626286975,10.1668417115117,8.34019511969796,2.63072197372601,1.98101251827348,4.41037110768302,2.49872736880531,-0.0714960017050699,4.60517018598809,NA,3.725557827682,16.8160142800312,4.44970864736073,3.226547652688,3.3692267261727,4.12453441529897,26.2592464468162,1.85133793351532,4.30669716613681
"Australia-2015","Australia",1,"2015",2.76400750898602,4.43746743082916,4.68384573891594,NA,10.9457137006924,3.72865550370149,2.23108909128898,10.0194818782932,8.32930022309231,2.6451664651086,1.98197170694617,4.41158543691543,2.50516995526941,-0.0693500781347932,4.60517018598809,4.53515665094412,3.70813389196605,16.8315622860206,4.45086449414709,3.20079200960427,3.27259371157178,4.11094389466647,26.3255415311899,1.84045952313997,3.47195792643409
"Australia-2016","Australia",1,"2016",2.76724051580696,4.46060673479674,4.69806262541219,NA,10.8172864853236,3.70924160207805,2.24283508858827,10.0006659860671,8.16118545341754,2.62498665415675,1.97088054467102,4.41217725796602,2.51382689868318,-0.06720874969345,4.60517018598809,4.53011813756534,3.73334408616718,16.8483361872968,4.45201900649392,3.17299780385511,3.25046998736631,4.11240893019819,26.3876127353303,1.80600331693725,3.56139685211994
"Australia-2017","Australia",1,"2017",2.76147985541561,4.46066507432444,4.68598106162198,NA,10.895556037867,3.73651049134656,2.27109442590267,9.20832233711287,8.03745594383348,2.61024329031753,1.97879143692819,4.41279829334063,2.51949646455629,-0.0650719967437148,4.60517018598809,4.52487413789325,3.76728967616146,16.8660814762176,4.45323039368021,3.23918047336151,3.16985008135481,4.11358800058096,26.4411278495874,1.75790669492633,3.6334731204036
"Australia-2018","Australia",1,"2018",2.74106492022437,4.47278099794235,4.7063895051159,NA,10.9544467817021,3.77021858537363,2.2690283094652,9.19807546455611,7.94820724029783,2.60100605808731,1.96534404246327,4.41580927684108,2.53000907020032,-0.0608121393967575,4.60517018598809,NA,3.82232715573646,16.882367848367,4.45448682140314,3.34358151175498,3.36009155565172,4.12359861169293,26.4814485032035,1.75408154992166,4.24885506506051
"Australia-2019","Australia",1,"2019",2.72481674312853,4.48413185761104,4.68756657880108,NA,10.9140230637751,3.82486745155551,2.31550131826059,9.05420104944245,7.94476694887036,2.55298189881622,1.97178670344787,4.41763506214125,2.53818592913461,-0.0608121393967575,4.60517018598809,NA,3.78368609807445,16.8985212061942,4.45578811823593,3.22320738294199,3.25904836730051,4.09984060595572,26.5197510874127,1.72367135026932,2.79835639813249
"Austria-1990","Austria",2,"1990",2.0267478211048,-2.03738349602563,-0.0410634695063264,NA,9.98419110134358,4.2695347717373,3.22429130049913,NA,5.98896141688986,2.44348640003171,NA,4.32503678625296,NA,-0.192371892647456,4.60517018598809,NA,4.26953470918572,15.3911794616626,4.14249960410915,3.48103747951922,3.437121844193,4.09847053691289,24.9541908919947,2.97456556854374,0.392278455333375
"Austria-1991","Austria",2,"1991",2.08556199576101,-1.35061239039791,0.397416529018235,NA,10.0173032516731,4.24918651155909,3.19850160129473,NA,6.2363695902037,2.4638710964605,NA,4.32568209328016,NA,-0.187535123846842,4.60517018598809,NA,4.24918657445261,15.3968501850826,4.13818599365123,3.35946964670549,3.36657301190451,4.06617814537647,24.9831407315366,2.95343725991817,0.207141576445997
"Austria-1992","Austria",2,"1992",1.99523442826335,-0.441894235724663,0.788196731858157,NA,10.1218261432154,4.21405415060326,3.26334396061836,NA,6.36475075685191,2.46467930882435,NA,4.32832350700508,NA,-0.180323554131282,4.60517018598809,NA,4.21405411132955,15.4035072413273,4.1338376741689,3.24136700678446,3.25080693301153,4.07839159878888,24.9962483081408,2.91666931457779,0.761498881648669
"Austria-1993","Austria",2,"1993",1.98941323232147,-0.267431532411598,1.02740875833162,NA,10.089200343955,4.14733305628729,3.27176454024512,NA,6.46146817635372,2.40452598628259,NA,4.33163152473114,NA,-0.174353387144778,4.60517018598809,NA,4.14733304396732,15.4073702752176,4.12945427266886,3.17556397458271,3.20620844291672,4.08150016007002,24.9722305679487,2.8599244031743,0.590980025063282
"Austria-1994","Austria",2,"1994",1.99383474250336,0.331763286899877,1.25442224028509,NA,10.1521702130533,4.18945916831328,3.24569124206901,8.23836249635442,6.66568371778241,NA,NA,4.33623805878878,NA,-0.168418651624963,4.60517018598809,NA,4.18945911683246,15.406799978266,4.1250354095429,3.39415147554293,3.38161310384639,4.07606966781126,25.0275525783264,2.85396823486381,1.0198841076229
"Austria-1995","Austria",2,"1995",2.04086503729209,0.636688211228117,1.57401404324156,NA,10.319755749309,4.22327414884182,3.24376697183652,8.5067266073273,6.7093043402583,2.35195791862983,NA,4.33948822893792,NA,-0.16369609267079,4.60517018598809,NA,4.22327427919228,15.4038925420484,4.12059693336617,3.46316331382136,3.34030946616624,4.11311083340224,25.0971289538497,2.88512912382031,0.757178581558874
"Austria-1996","Austria",2,"1996",2.09854212394189,1.93284840800029,2.01800604305102,NA,10.3025682158162,4.24968982996904,3.17958920684599,8.54503206883274,6.77878489768518,2.27633861092413,NA,4.34212520207881,NA,-0.158995731490458,4.60517018598809,NA,4.2496898139784,15.4007518797688,4.11610605400361,3.29573571081241,3.27931097927776,4.0719212722458,25.1424702033652,2.86972730275196,1.8223375348554
"Austria-1997","Austria",2,"1997",2.08687602280998,2.25486166294641,2.67801185349717,NA,10.1926240143279,4.31572242516677,3.21370451274761,8.56062234434349,6.84694313958538,NA,NA,4.34794634541079,NA,-0.154317360384357,4.60517018598809,NA,4.31572242228725,15.3973904113347,4.11161129712082,3.36190986374384,3.27700242178025,4.08410932914167,25.2470808269811,2.87939701329672,1.2542743768135
"Austria-1998","Austria",2,"1998",2.0927614659261,2.73574443893897,3.3585678472338,NA,10.2169059041338,4.34285886220974,3.19496643653946,8.56198298380508,6.89467003943348,2.42409010246708,NA,4.35247850310711,NA,-0.147340587898709,4.60517018598809,NA,4.3428588701188,15.3939396273556,4.10706333462988,3.36423889152128,3.32169933231104,4.08485515671901,25.3226657801351,2.87507587014853,2.09468418822409
"Austria-1999","Austria",2,"1999",2.06544648134588,3.13741919240729,3.97381867494755,NA,10.2103645649735,4.36003841008467,3.27481412443301,8.56097081376213,6.96696713861398,2.49737607533434,NA,4.3551128070108,NA,-0.143870370419702,4.60517018598809,4.48270838445706,4.36003840568943,15.3913166064916,4.1024945936403,3.41772716564865,3.32773771802324,4.06216746640261,25.3850202888747,2.88429402933901,1.36910230387565
"Austria-2000","Austria",2,"2000",2.07062598768893,3.51839159066081,4.33549777338082,NA,10.111541860575,4.44688341318474,3.27487801498349,8.50831388680964,7.02908756414966,2.4009107481462,NA,4.35833352241659,NA,-0.138113302129634,4.60517018598809,4.48219081021126,4.44688346452086,15.3891148465762,4.09788827584547,3.48262731100319,3.36676659159938,4.1127350360516,25.5118695179129,2.90224362282961,4.30890039482994
"Austria-2001","Austria",2,"2001",2.13346905759136,3.66830550901865,4.39887768031086,NA,10.1088240421458,4.47205773147029,3.23985423125339,8.58956036354214,7.02553831463852,2.38474743399509,NA,4.36406134283294,NA,-0.132389188045746,4.60517018598809,NA,4.47205767704812,15.3882985938111,4.09324395677807,3.36073682674442,3.28170537194107,4.10028329223653,25.5679756925829,2.90914406128784,2.88059839258097
"Austria-2002","Austria",2,"2002",2.14982049081354,3.59895474658595,4.42336935067517,NA,10.1859407189692,4.4653121709942,3.20599319903719,8.68756530379373,7.01660968389422,2.35444953238322,NA,4.36536419377877,NA,-0.12897038129696,4.60517018598809,4.48196653530787,4.4653121479959,15.3885522924871,4.08857796732776,3.2080458878211,3.18388303530192,4.11475693241336,25.6099447240394,2.8750766489455,0.0645287981478418
"Austria-2003","Austria",2,"2003",2.21575667102385,3.75419892023458,4.49513357061953,NA,10.3826382464353,4.45884162829701,3.11617842662986,8.9125850677859,7.01211529430638,2.37393972614076,NA,4.36477501907144,NA,-0.126697653045958,4.60517018598809,4.48257195084393,4.45884160032669,15.3887190388979,4.08387326235481,3.28641504905778,3.30693423048619,4.08520795397729,25.615245584063,2.85952155820502,2.36204525540375
"Austria-2004","Austria",2,"2004",2.22738881651048,3.99415583496667,4.58299336997101,NA,10.5156750127527,4.50857498351791,3.14285833844428,9.03573814434937,7.01750614294126,2.28983719433813,1.96321827499315,4.37172990236724,NA,-0.121038328377056,4.60517018598809,4.48417124735444,4.50857492081516,15.3901793700974,4.07912939641562,3.37105154953622,3.33288421331606,4.16692599452773,25.6983090027966,2.85281181835922,1.05608551598741
"Austria-2005","Austria",2,"2005",2.22636404244463,4.06044301054642,4.65703654809097,3.23160249613893,10.5562672651007,4.54365435254565,3.19499288440487,9.05318819215118,7.0730154478478,2.3284331701737,NA,4.37363788879004,2.44745137732681,-0.117658043468232,4.60517018598809,4.49070019363791,4.54365435591352,15.392225465343,4.07436291890351,3.41930343765769,3.2917782004077,3.98756630131238,25.7628328985071,2.85691944265505,25.6558278307872
"Austria-2006","Austria",2,"2006",2.19294534507739,4.15261347034608,4.7207755090376,3.4639655867145,10.6132294499228,4.58586820764081,3.28241384567219,9.0564184993039,7.13767581457537,2.33935862031579,1.97143224045874,4.38053161525003,NA,-0.113168698105638,4.60517018598809,4.49164621761459,4.58586835847077,15.3923841621451,4.06957361323018,3.52659046741057,3.35026546194983,4.12094098933605,25.8358618926022,2.88051423228639,3.1225333500469
"Austria-2007","Austria",2,"2007",2.15034279644973,4.23945449739721,4.78329692181004,3.57910922996741,10.7560999244376,4.61247597422706,3.36695094293356,9.17720128816867,7.18387071506245,2.34682105310109,NA,4.38428019106812,2.4450616084491,-0.109814866007207,4.60517018598809,4.47974856296432,4.61247593390348,15.3907788828043,4.06472692491647,3.52239211826074,3.40103925388784,4.13889510972558,25.9088503184337,2.89887151146857,17.6948460131618
"Austria-2008","Austria",2,"2008",2.14002781214718,4.28867703168219,4.86739840197064,3.60970907418523,10.857459035034,4.62569493221623,3.39047341829918,9.274150502902,7.29709100516042,2.3566138955094,1.98824121031144,4.387408468057,2.43956926789939,-0.107585210679937,4.60517018598809,4.47924476590802,4.62569500342258,15.389038973114,4.05985663176343,3.30203445499276,3.20186731781721,4.12406967125861,25.9303247578893,2.8574734803189,1.45842274091571
"Austria-2009","Austria",2,"2009",2.04396253721833,4.29660490261989,4.92034636634587,3.71689823618146,10.782145449526,4.46662316150544,3.44393753533831,9.20386042237799,7.3078057543888,2.3593368145047,2.0109636536787,4.38616440375139,2.45739584064289,-0.107585210679937,4.60517018598809,4.47665453632485,4.46662309288464,15.3867644516917,4.05496250271986,2.42957427954165,2.60662042132223,4.10464296489789,25.7752123550143,2.79496130675446,3.55936613543504
"Austria-2010","Austria",2,"2010",2.12405811580793,4.31975221518938,4.98616439234289,3.7488662254882,10.7558531555984,4.59531979213431,3.43881424523346,9.17329664746264,7.1485029642447,2.37853916535137,2.00157305645105,4.38925653341673,2.46085982862945,-0.103140758919513,4.60517018598809,4.46353876222105,4.59531983013726,15.384232720234,4.05002688157098,3.53220181682992,3.34063574802155,4.10425895392026,25.8985892558215,2.8020565455815,-5.61017631479876
"Austria-2011","Austria",2,"2011",2.09623405258441,4.36615119788541,5.04467126853679,3.79536109108034,10.8482156084465,4.65493881063962,3.45442214289945,9.30239799522136,7.04368379620638,2.3968483708673,2.01474336271707,4.39423835256966,2.46054137944864,-0.0998203352822109,4.60517018598809,4.46147924519741,4.65493882367709,15.3826435018154,4.04506677918591,3.50587620850935,3.36179141774972,4.13067881196696,25.9562481824456,2.80913814598029,5.32423673714992
"Austria-2012","Austria",2,"2012",2.0442824522254,4.38240148840744,5.0826036443192,3.88120084548622,10.790656683685,4.65540860975968,3.5374749999547,9.24370648032767,7.06304816338817,2.37035405856671,1.93874163213284,4.3936659513309,2.46399195437322,-0.0987159729391577,4.60517018598809,4.45598885513491,4.65540872932127,15.3877629807719,4.04562689542467,3.3364424864384,3.27063668300925,4.11500800332781,25.9705227603432,2.81577532136663,1.27469393348716
